"CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)",185129,184589,185159,191076,196415,201138,205433,201514,189685,187126,189044,189457,191198,195852,201100,204839,209427,213465,216272
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",189688,188934,188816,187460,188590,189353,189398,189148,183626,184471,188291,188271,186855,189261,191199,191973,193405,195465,196211
"21820","Fairbanks, AK (Metropolitan Statistical Area) *",51232,52613,52971,54102,55121,56731,57967,58040,57509,57318,58909,59373,58147,57188,58111,58521,58773,58844,58474
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",128846,129742,131637,135324,139308,144064,148966,151713,151422,152299,156425,161529,166066,171340,174366,176278,177974,180087,183648
"22140","Farmington, NM (Metropolitan Statistical Area)",56802,57347,58042,60223,62057,64092,65736,67365,64351,62510,63442,64476,64535,65451,65143,62558,62167,61264,60719
"22180","Fayetteville, NC (Metropolitan Statistical Area)",215091,219277,223180,228124,234800,239259,246441,249482,248677,248905,250818,249550,248769,248248,249094,252968,255283,259355,263547
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",208886,216346,222187,230625,244037,253470,257530,256032,248545,249946,256840,263197,269951,281203,292329,304626,312851,321447,328133
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",66819,67698,69161,72523,74562,76556,79194,78696,76109,76341,76961,78072,80096,81613,83442,84995,86552,87132,87159
"22420","Flint, MI (Metropolitan Statistical Area)",208522,206216,204035,205076,199141,199333,197347,189381,181507,179309,182703,182470,185571,187614,187291,186016,187265,188307,190303
"22500","Florence, SC (Metropolitan Statistical Area)",106048,106518,105208,105332,105676,107464,109510,109121,104986,104404,106929,107460,108522,109069,110732,111482,112412,116274,117902
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",70339,67794,67531,68949,71142,73600,74996,74033,72415,72486,73883,73577,73903,74883,75152,75444,75486,76475,77351
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",58683,58998,58352,58529,58968,59304,59937,59767,56808,56460,57214,57437,58967,59845,60013,60078,59981,61270,62207
"22660","Fort Collins, CO (Metropolitan Statistical Area)",170194,171113,171677,176191,180859,184627,190983,192586,188924,189251,193349,196967,203389,210458,217249,226457,232961,240021,245338
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",133586,132476,132613,134158,137292,140454,142476,141877,136486,134599,132397,132219,130884,131677,133291,134883,134255,134796,135452
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",243280,240687,237013,239512,242116,246947,250309,247713,236234,235585,240881,243327,243321,247271,252459,254725,258201,263869,268332
"23420","Fresno, CA (Metropolitan Statistical Area)",399740,410513,411423,416389,424613,435397,445265,441468,424077,420791,426268,439605,455451,465023,475905,486948,496791,508813,523122
"23460","Gadsden, AL (Metropolitan Statistical Area)",48338,49064,48002,49327,50115,49828,49838,49618,46996,46792,48421,48495,48599,49566,49740,50606,50471,50728,50285
