CBSA Code,CBSA Title,Principal City Name,FIPS State Code,FIPS Place Code
29200,"Lafayette-West Lafayette, IN",Lafayette,18,40788
29200,"Lafayette-West Lafayette, IN",West Lafayette,18,82862
29340,"Lake Charles, LA",Lake Charles,22,41155
29420,"Lake Havasu City-Kingman, AZ",Kingman,4,37620
29420,"Lake Havasu City-Kingman, AZ",Lake Havasu City,4,39370
29460,"Lakeland-Winter Haven, FL",Lakeland,12,38250
29460,"Lakeland-Winter Haven, FL",Winter Haven,12,78275
29540,"Lancaster, PA",Lancaster,42,41216
29620,"Lansing-East Lansing, MI",East Lansing,26,24120
29620,"Lansing-East Lansing, MI",Lansing,26,46000
29700,"Laredo, TX",Laredo,48,41464
29740,"Las Cruces, NM",Las Cruces,35,39380
29820,"Las Vegas-Henderson-Paradise, NV",Henderson,32,31900
29820,"Las Vegas-Henderson-Paradise, NV",Las Vegas,32,40000
29820,"Las Vegas-Henderson-Paradise, NV",Paradise,32,54600
29940,"Lawrence, KS",Lawrence,20,38900
30020,"Lawton, OK",Lawton,40,41850
30140,"Lebanon, PA",Lebanon,42,42168
30300,"Lewiston, ID-WA",Lewiston,16,46540
30340,"Lewiston-Auburn, ME",Auburn,23,2060
30340,"Lewiston-Auburn, ME",Lewiston,23,38740
30460,"Lexington-Fayette, KY",Lexington-Fayette,21,46027
30620,"Lima, OH",Lima,39,43554
30700,"Lincoln, NE",Lincoln,31,28000
30780,"Little Rock-North Little Rock-Conway, AR",Conway,5,15190
30780,"Little Rock-North Little Rock-Conway, AR",Little Rock,5,41000
30780,"Little Rock-North Little Rock-Conway, AR",North Little Rock,5,50450
30860,"Logan, UT-ID",Logan,49,45860
30980,"Longview, TX",Longview,48,43888
31020,"Longview, WA",Longview,53,40245
31080,"Los Angeles-Long Beach-Anaheim, CA",Anaheim,6,2000
31080,"Los Angeles-Long Beach-Anaheim, CA",Arcadia,6,2462
31080,"Los Angeles-Long Beach-Anaheim, CA",Burbank,6,8954
31080,"Los Angeles-Long Beach-Anaheim, CA",Carson,6,11530
31080,"Los Angeles-Long Beach-Anaheim, CA",Costa Mesa,6,16532
31080,"Los Angeles-Long Beach-Anaheim, CA",Fountain Valley,6,25380
31080,"Los Angeles-Long Beach-Anaheim, CA",Gardena,6,28168
31080,"Los Angeles-Long Beach-Anaheim, CA",Glendale,6,30000
31080,"Los Angeles-Long Beach-Anaheim, CA",Irvine,6,36770
31080,"Los Angeles-Long Beach-Anaheim, CA",Long Beach,6,43000
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,6,44000
31080,"Los Angeles-Long Beach-Anaheim, CA",Newport Beach,6,51182
31080,"Los Angeles-Long Beach-Anaheim, CA",Orange,6,53980
