NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Grand Rapids-Kentwood, MI",0.1,0.8,1.1,1.2,1.0,0.8,0.9,0.8,0.7,0.6
"Grants Pass, OR",0.2,-0.2,0.1,0.5,0.3,1.4,1.1,1.2,0.6,0.4
"Great Falls, MT",0.2,0.3,-0.1,0.7,-0.2,-0.2,-0.4,0.1,0.1,-0.4
"Greeley, CO",0.5,1.8,2.0,2.2,2.5,3.0,3.3,3.3,2.8,3.0
"Green Bay, WI",0.2,0.6,0.6,0.4,0.7,0.5,0.5,0.7,0.5,0.5
"Greensboro-High Point, NC",0.2,0.7,0.7,0.7,0.8,0.6,1.0,0.5,0.6,0.7
"Greenville, NC",0.4,1.1,1.3,0.8,0.3,0.6,0.6,0.8,0.5,0.6
"Greenville-Anderson, SC",0.2,0.9,0.9,0.9,1.4,1.4,1.3,1.2,1.3,1.5
"Gulfport-Biloxi, MS",0.2,1.1,0.8,0.8,1.0,0.7,0.6,0.9,0.5,0.7
"Hagerstown-Martinsburg, MD-WV",0.3,0.8,0.5,0.5,0.7,0.5,0.9,0.8,1.0,0.8
"Hammond, LA",0.3,1.0,0.8,1.5,1.2,1.3,1.5,1.3,1.1,0.7
"Hanford-Corcoran, CA",-0.4,-0.3,-0.6,-0.4,-0.6,0.4,-0.5,0.2,1.1,1.0
"Harrisburg-Carlisle, PA",0.1,0.4,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.7
"Harrisonburg, VA",0.1,1.1,1.3,0.4,1.1,0.5,1.3,0.8,0.5,0.2
"Hartford-East Hartford-Middletown, CT",0.1,0.2,-0.1,-0.0,-0.1,-0.2,-0.3,-0.1,-0.1,-0.1
"Hattiesburg, MS",0.3,1.2,0.7,0.6,0.1,0.4,0.2,-0.3,0.3,0.3
"Hickory-Lenoir-Morganton, NC",-0.1,-0.3,-0.2,-0.1,-0.1,0.1,0.4,0.6,0.4,0.3
"Hilton Head Island-Bluffton, SC",0.4,0.8,2.0,2.1,2.2,2.7,1.9,1.7,1.4,1.9
"Hinesville, GA",-0.8,3.6,0.2,-2.0,2.8,-2.3,0.7,0.7,-0.9,1.6
"Homosassa Springs, FL",-0.0,-1.0,-0.4,-0.3,-0.0,1.0,1.8,1.8,1.5,1.3
"Hot Springs, AR",0.1,0.8,0.1,0.7,0.1,0.1,0.5,0.0,0.6,0.4
"Houma-Thibodaux, LA",0.0,0.2,0.1,0.5,0.7,0.4,-0.3,-0.7,-0.4,-0.5
"Houston-The Woodlands-Sugar Land, TX",0.4,1.8,2.1,2.3,2.6,2.6,2.0,1.4,1.1,1.3
"Huntington-Ashland, WV-KY-OH",0.0,0.0,-0.0,-0.2,-0.3,-0.5,-0.6,-0.8,-0.8,-0.9
"Huntsville, AL",0.4,1.4,1.1,1.3,1.1,0.9,1.1,1.4,1.6,1.8
"Idaho Falls, ID",0.4,0.8,0.9,0.5,0.7,1.2,2.1,2.1,2.0,2.0
"Indianapolis-Carmel-Anderson, IN",0.2,0.9,1.0,1.2,0.9,0.8,1.0,1.0,1.2,1.1
"Iowa City, IA",0.3,1.8,1.9,1.9,1.6,1.4,1.2,1.4,0.6,0.3
"Ithaca, NY",0.1,0.1,0.9,0.8,-0.2,-0.4,-0.1,-0.3,-0.2,-0.2
"Jackson, MI",-0.1,-0.3,0.2,-0.2,-0.1,-0.1,-0.6,0.2,0.0,-0.0
"Jackson, MS",0.2,0.9,0.4,0.1,0.2,0.1,0.2,0.0,-0.3,-0.4
"Jackson, TN",0.0,-0.0,0.1,-0.0,-0.3,-0.4,-0.2,0.0,-0.0,0.2
"Jacksonville, FL",0.2,1.0,1.1,1.1,1.6,2.0,2.1,1.9,1.8,1.7
"Jacksonville, NC",4.9,-1.0,3.0,0.9,-0.3,0.7,-0.4,1.4,0.9,0.5
"Janesville-Beloit, WI",-0.0,-0.2,0.1,0.2,0.4,0.1,0.2,0.5,0.4,0.3
"Jefferson City, MO",0.1,0.3,-0.0,0.2,0.0,0.1,0.3,-0.0,0.1,-0.2
"Johnson City, TN",0.1,0.3,0.4,-0.0,-0.2,0.2,0.6,0.2,0.5,0.4
"Johnstown, PA",-0.2,-0.6,-0.7,-2.0,-0.9,-1.1,-1.2,-1.1,-1.1,-1.0
"Jonesboro, AR",0.2,1.3,1.2,1.2,0.8,1.3,1.1,1.0,1.1,0.9
"Joplin, MO",0.2,-1.1,0.3,0.4,0.4,0.5,0.4,0.5,0.2,0.5
"Kahului-Wailuku-Lahaina, HI",0.1,1.2,1.2,1.3,1.2,0.5,0.9,0.5,0.5,0.3
"Kalamazoo-Portage, MI",0.2,0.7,1.1,0.8,0.6,0.3,0.6,0.6,0.6,0.1
"Kankakee, IL",-0.0,0.1,-0.5,-0.2,-0.8,-0.1,-0.6,-0.5,-0.5,-0.1
"Kansas City, MO-KS",0.2,0.6,0.6,0.7,0.7,0.8,1.0,0.9,0.8,0.6
"Kennewick-Richland, WA",0.9,3.0,1.7,1.0,1.2,1.7,1.7,2.2,1.8,1.4
"Killeen-Temple, TX",0.7,1.0,2.6,0.1,0.6,1.4,0.9,1.5,1.8,2.0
"Kingsport-Bristol, TN-VA",-0.0,-0.1,-0.2,-0.3,-0.2,-0.3,-0.1,0.2,0.1,0.2
"Kingston, NY",-0.1,0.0,-0.5,-0.5,-0.2,-0.4,-0.3,-0.2,-0.1,-0.5
"Knoxville, TN",0.1,0.6,0.5,0.5,0.5,0.6,0.8,1.0,0.9,0.9
"Kokomo, IN",0.0,0.1,0.1,-0.1,-0.2,-0.3,-0.0,-0.1,0.1,0.3
"La Crosse-Onalaska, WI-MN",0.2,0.2,0.9,0.3,0.4,0.2,-0.0,0.2,-0.1,0.0
"Lafayette, LA",0.2,0.7,0.7,1.2,1.0,0.9,0.3,-0.1,-0.1,-0.1
"Lafayette-West Lafayette, IN",0.2,1.2,1.5,1.2,1.0,1.0,1.5,0.4,1.2,0.9
"Lake Charles, LA",0.2,0.3,0.3,0.5,0.5,1.0,1.1,0.9,0.4,0.1
"Lake Havasu City-Kingman, AZ",0.1,1.2,0.3,-0.1,0.1,0.6,0.4,0.8,1.1,1.4
"Lakeland-Winter Haven, FL",0.2,1.1,0.9,1.2,1.9,2.2,2.6,2.9,3.0,2.5
"Lancaster, PA",0.2,0.7,0.6,0.6,0.6,0.5,0.4,0.6,0.5,0.3
"Lansing-East Lansing, MI",0.0,0.3,0.1,0.2,0.4,0.2,0.7,0.6,0.1,0.3
"Laredo, TX",0.4,1.8,1.8,1.5,1.1,0.9,0.9,0.5,0.5,0.6
"Las Cruces, NM",0.4,1.4,0.6,-0.1,-0.2,0.0,0.3,0.7,0.5,0.4
"Las Vegas-Henderson-Paradise, NV",0.1,0.5,1.4,1.4,1.8,2.1,2.0,2.0,2.0,1.8
"Lawrence, KS",0.3,1.1,0.7,1.2,1.5,1.4,1.3,0.5,0.7,0.9
"Lawton, OK",1.0,0.5,0.3,-1.2,-0.2,-0.7,-1.8,-0.0,-1.0,0.1
"Lebanon, PA",0.1,0.6,0.7,0.2,0.5,0.7,0.7,0.8,1.3,0.3
"Lewiston, ID-WA",0.2,0.6,0.0,0.8,0.2,0.1,0.5,0.6,0.1,0.2
"Lewiston-Auburn, ME",-0.0,-0.3,0.0,-0.2,0.1,-0.2,0.2,0.1,0.5,0.3
"Lexington-Fayette, KY",0.3,1.2,1.3,1.2,0.9,1.3,1.2,1.0,0.5,0.4
"Lima, OH",0.0,-0.3,-0.7,-0.2,-0.2,-0.7,-0.5,-0.5,-0.4,-0.4
"Lincoln, NE",0.3,1.2,1.2,1.2,1.7,1.1,1.3,1.1,0.8,0.8
"Little Rock-North Little Rock-Conway, AR",0.4,1.2,1.0,0.8,0.7,0.4,0.4,0.5,0.3,0.3
"Logan, UT-ID",0.6,1.1,0.9,0.9,0.7,1.4,2.1,1.6,1.7,1.4
"Longview, TX",0.2,0.7,0.2,-0.2,0.2,0.2,-0.0,0.3,0.2,0.5
"Longview, WA",-0.0,-0.0,-0.6,-0.2,0.3,1.2,1.7,1.9,1.8,1.7
"Los Angeles-Long Beach-Anaheim, CA",0.1,0.7,0.7,0.6,0.5,0.5,0.3,0.1,-0.2,-0.3
"Louisville/Jefferson County, KY-IN",0.2,0.6,0.7,1.0,0.6,0.6,0.5,0.6,0.2,0.2
"Lubbock, TX",0.5,1.0,0.8,1.1,1.6,1.3,1.2,1.0,0.7,0.9
"Lynchburg, VA",0.1,0.5,0.6,0.4,0.4,0.6,0.4,0.5,0.4,0.3
"Macon-Bibb County, GA",-0.0,0.2,0.0,-0.7,-0.3,-0.3,-0.3,-0.1,0.3,0.2
"Madera, CA",0.1,0.5,-0.1,-0.1,1.4,0.1,0.2,0.9,0.9,0.3
