,_id,CBSA,MSA,2024_Pop_ROC,2024_Unem_Rate,2024_Emp_ROC,2024_GDP_ROC,2024_Bus_ROC,2024_CPI,2024_AMW_ROC,2024_LP_ROC,Pop_Score,Unem_Score,Emp_Score,GDP_Score,Bus_Score,CPI_Score,AMW_Score,LP_Score,Total_Score,Overall_Rank
52,60413a1d2eee1da2ff615c0c,26300,"Hot Springs, AR",1.5937858450888454,2.6936829181196225,0.8785662976811006,13.35154308194758,-2.738095238095238,265.9255038284625,-0.6768325307651151,0.1947464325857973,212.0,192.5,190.0,191.0,70.0,177.0,4.0,258.0,1294.5,266.5
53,60413a1d2eee1da2ff615c0d,27620,"Jefferson City, MO",0.1282771845141667,2.3907516185187947,0.20539650244634985,11.053464288396638,-7.801418439716312,255.83376730001717,7.56882874475035,0.03907444380517856,151.0,288.5,156.0,141.0,27.0,192.0,168.0,214.0,1337.5,254.5
54,60413a1d2eee1da2ff615c0e,30980,"Longview, TX",0.014302807885382181,2.0625730799727795,2.176424168258289,-0.7303449362334642,-0.6332196785192401,265.9255038284625,8.802367941712204,0.5223987140610008,120.0,365.0,222.0,9.0,118.0,177.0,245.0,295.0,1551.0,178.0
55,60413a1d2eee1da2ff615c0f,31080,"Los Angeles-Long Beach-Anaheim, CA",0.13928323843593837,3.177950359770203,5.619300061289693,18.21169707200844,17.295574664683187,299.7671195513341,8.427304667893592,1.6809939769174356,153.0,131.0,300.0,314.0,310.0,147.0,220.0,351.0,1926.0,54.0
56,60413a1d2eee1da2ff615c10,31860,"Mankato, MN",2.795137696586773,2.1447141370183096,4.136079763339541,8.44592169720678,0.9950248756218906,255.83376730001717,11.825977828906087,-0.26295508316822663,250.0,342.0,260.0,107.0,151.0,192.0,363.0,97.0,1762.0,100.5
57,60413a1d2eee1da2ff615c11,37100,"Oxnard-Thousand Oaks-Ventura, CA",0.17730370706590734,2.7935073860616866,3.9176938007000546,-0.09268910041043465,9.19678027059428,299.7671195513341,7.808636445081526,0.339571363098113,160.0,166.0,255.0,24.0,250.0,147.0,186.0,277.0,1465.0,207.0
58,60413a1d2eee1da2ff615c12,39660,"Rapid City, SD",5.330490405117271,2.077860765938109,4.855928799441895,14.810081905431275,-20.554765291607396,255.83376730001717,10.056791292001893,-0.7801664220018785,314.0,355.5,281.0,238.0,6.0,192.0,313.0,45.0,1744.5,109.0
59,60413a1d2eee1da2ff615c13,39820,"Redding, CA",0.842958685028876,4.936221553801303,0.2451607401722521,17.86874585922563,-12.002275312855518,299.7671195513341,10.071627536808595,-0.41248534668159137,187.0,40.0,163.0,309.0,13.0,147.0,315.0,75.0,1249.0,282.0
60,60413a1d2eee1da2ff615c14,41940,"San Jose-Sunnyvale-Santa Clara, CA",0.6834919072066551,2.4243444407414145,-0.25473144545004567,27.00525607824481,1.432857755189517,299.7671195513341,0.12029537875178657,2.7174188660188325,182.0,275.0,13.0,383.0,160.0,147.0,41.0,365.0,1566.0,172.0
61,60413a1d2eee1da2ff615c15,43340,"Shreveport-Bossier City, LA",-0.036989556784036724,4.682347449831142,0.37389033942558747,-0.18509196518522983,9.643417806683113,265.9255038284625,0.22589264027204273,0.035161092024429935,53.0,48.5,173.0,16.0,253.0,177.0,54.0,210.0,984.5,351.0
62,60413a1d2eee1da2ff615c16,44100,"Springfield, IL",0.049790204381537986,2.9177072623611116,0.022531972091433188,11.590181264806091,2.9748283752860414,255.83376730001717,-0.17052136417091338,-0.8597924520808913,135.0,148.5,119.0,149.0,187.0,192.0,15.0,41.0,986.5,349.0
63,60413a1d2eee1da2ff615c17,49340,"Worcester, MA-CT",1.5819017019138615,2.161534646578859,4.4214307338282355,14.415935931056758,3.3470648815653967,289.63399347688846,7.622527178756015,1.1971183741741314,211.0,340.5,265.0,225.0,190.0,162.0,173.0,334.0,1900.5,61.0
64,60413a1d2eee1da2ff615c18,12060,"Atlanta-Sandy Springs-Alpharetta, GA",6.620347208241893,2.5617611275796235,0.02205463715721008,20.28646304839902,0.9570484072310323,265.9255038284625,8.32378488264646,0.5864840783989503,338.0,236.0,117.0,355.0,150.0,177.0,216.0,302.0,1891.0,65.0
65,60413a1d2eee1da2ff615c19,14020,"Bloomington, IN",2.7430124682384918,2.2936050390126823,4.085083659665361,16.372756976229088,-4.683195592286501,255.83376730001717,1.6812646870326853,-1.2199713353340929,246.0,313.5,257.0,278.0,44.0,192.0,93.0,32.0,1455.5,210.0
66,60413a1d2eee1da2ff615c1a,15940,"Canton-Massillon, OH",0.0007546790098611391,2.8439200994919065,-0.014364010970513378,6.705074700692726,-0.7513416815742398,255.83376730001717,8.986206896551725,1.9011161835473326e-06,96.0,154.5,64.0,90.0,108.0,192.0,259.0,190.0,1153.5,319.0
67,60413a1d2eee1da2ff615c1b,17980,"Columbus, GA-AL",0.07724701602252622,5.169113453523758,-0.029547969785857803,11.335877998937004,27.761389708292363,265.9255038284625,-0.0990783410138249,-3.015670758434594,144.0,23.0,48.0,147.0,366.0,177.0,17.0,7.0,929.0,361.0
68,60413a1d2eee1da2ff615c1c,22420,"Flint, MI",-0.5879555361706008,3.839767724422232,-0.013662422557710597,11.935772214330951,27.968992248062012,255.83376730001717,7.718816067653276,0.14957826818871284,25.0,81.5,66.0,160.0,367.0,192.0,178.0,248.0,1317.5,260.0
69,60413a1d2eee1da2ff615c1d,24780,"Greenville, NC",2.0880592225382038,3.6601599290186453,4.482579503260932,12.390221091579095,24.627349319507452,265.9255038284625,10.553054662379422,0.08981202165365347,223.0,89.5,267.0,168.0,358.0,177.0,337.0,230.0,1849.5,75.5
70,60413a1d2eee1da2ff615c1e,27100,"Jackson, MI",-0.0012617500473156267,2.5937527321240634,-0.013184958599229997,15.29235822983835,-1.5643802647412757,255.83376730001717,12.16168371361133,0.18013672424328878,81.0,228.0,70.0,253.0,91.0,192.0,371.0,253.0,1539.0,184.0
71,60413a1d2eee1da2ff615c1f,27340,"Jacksonville, NC",0.10508340995665308,3.5397849329538538,1.0429303287630585,5.912484378261882,22.60677466863034,265.9255038284625,0.7292474786656322,-0.6288005626066107,150.0,97.5,193.0,84.0,352.0,177.0,75.0,52.0,1180.5,306.5
72,60413a1d2eee1da2ff615c20,30020,"Lawton, OK",-2.3818375983862676,2.2640319851049666,0.3216083300884062,-0.05558599121140913,0.0,265.9255038284625,0.09403612967087355,-0.1685130104824134,5.0,321.5,172.0,27.0,134.0,177.0,38.5,122.0,997.0,346.0
73,60413a1d2eee1da2ff615c21,30460,"Lexington-Fayette, KY",2.4388074019061765,1.9873501126774376,5.365956106269032,15.885117983333064,-3.601161665053243,265.9255038284625,7.952894563064055,-0.031494503805425185,237.0,372.5,294.0,267.0,56.0,177.0,194.0,162.0,1759.5,103.0
74,60413a1d2eee1da2ff615c22,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",8.270516156348727,2.516827770696483,0.061561078697110305,22.15007536550761,-4.817466631309113,265.9255038284625,0.20645419923832434,3.4782144172761313,359.0,252.0,129.0,371.0,42.0,177.0,52.0,372.0,1754.0,105.5
75,60413a1d2eee1da2ff615c23,37340,"Palm Bay-Melbourne-Titusville, FL",5.918676550232414,3.6741621931596007,1.2309290439348943,-0.02476979517038476,17.06881143878463,265.9255038284625,8.841344275107463,0.3829182405847933,326.0,87.0,198.0,31.0,308.0,177.0,251.0,281.0,1659.0,142.0
76,60413a1d2eee1da2ff615c24,38060,"Phoenix-Mesa-Chandler, AZ",8.676058763150985,2.9177072623611116,8.990917414887791,19.746805101113292,13.854763625363429,299.7671195513341,8.710108924135296,6.638663315655879,363.0,148.5,357.0,345.0,282.0,147.0,238.0,380.0,2260.5,16.0
