,CBSA,year,Population,NAME
442,41500,2012,424788,"Salinas, CA"
443,41500,2013,426712,"Salinas, CA"
444,41500,2014,428475,"Salinas, CA"
445,41500,2015,430552,"Salinas, CA"
446,41500,2016,433953,"Salinas, CA"
447,41500,2017,434534,"Salinas, CA"
448,41500,2018,433950,"Salinas, CA"
449,41500,2019,434061,"Salinas, CA"
450,42020,2010,269802,"San Luis Obispo-Paso Robles, CA"
451,42020,2011,271058,"San Luis Obispo-Paso Robles, CA"
452,42020,2012,274160,"San Luis Obispo-Paso Robles, CA"
453,42020,2013,275696,"San Luis Obispo-Paso Robles, CA"
454,42020,2014,278227,"San Luis Obispo-Paso Robles, CA"
455,42020,2015,280077,"San Luis Obispo-Paso Robles, CA"
456,42020,2016,281803,"San Luis Obispo-Paso Robles, CA"
457,42020,2017,282481,"San Luis Obispo-Paso Robles, CA"
458,42020,2018,283354,"San Luis Obispo-Paso Robles, CA"
459,42020,2019,283111,"San Luis Obispo-Paso Robles, CA"
460,42660,2010,3449241,"Seattle-Tacoma-Bellevue, WA"
461,42660,2011,3503891,"Seattle-Tacoma-Bellevue, WA"
462,42660,2012,3558829,"Seattle-Tacoma-Bellevue, WA"
463,42660,2013,3612347,"Seattle-Tacoma-Bellevue, WA"
464,42660,2014,3675160,"Seattle-Tacoma-Bellevue, WA"
465,42660,2015,3739654,"Seattle-Tacoma-Bellevue, WA"
466,42660,2016,3816355,"Seattle-Tacoma-Bellevue, WA"
467,42660,2017,3885579,"Seattle-Tacoma-Bellevue, WA"
468,42660,2018,3935179,"Seattle-Tacoma-Bellevue, WA"
469,42660,2019,3979845,"Seattle-Tacoma-Bellevue, WA"
470,43580,2010,143901,"Sioux City, IA-NE-SD"
471,43580,2011,144171,"Sioux City, IA-NE-SD"
472,43580,2012,143723,"Sioux City, IA-NE-SD"
473,43580,2013,143623,"Sioux City, IA-NE-SD"
474,43580,2014,143590,"Sioux City, IA-NE-SD"
475,43580,2015,143736,"Sioux City, IA-NE-SD"
476,43580,2016,143844,"Sioux City, IA-NE-SD"
477,43580,2017,143165,"Sioux City, IA-NE-SD"
478,43580,2018,143787,"Sioux City, IA-NE-SD"
