,MSA,year,value
3210,"Buffalo-Cheektowaga, NY",2023,2.382395844
3593,"Buffalo-Cheektowaga, NY",2024,2.113252299
75,"Burlington, NC",2015,5.3
458,"Burlington, NC",2016,4.8
841,"Burlington, NC",2017,4.3
1224,"Burlington, NC",2018,3.8
1607,"Burlington, NC",2019,3.6
1990,"Burlington, NC",2020,3.418359325
2373,"Burlington, NC",2021,3.253392652
2756,"Burlington, NC",2022,3.103569363
3139,"Burlington, NC",2023,2.967499347
3522,"Burlington, NC",2024,2.843920099
268,"Burlington-South Burlington, VT",2015,2.9
651,"Burlington-South Burlington, VT",2016,2.7
1034,"Burlington-South Burlington, VT",2017,2.5
1417,"Burlington-South Burlington, VT",2018,2.4
1800,"Burlington-South Burlington, VT",2019,2.4
2183,"Burlington-South Burlington, VT",2020,2.4
2566,"Burlington-South Burlington, VT",2021,2.4
2949,"Burlington-South Burlington, VT",2022,2.4
3332,"Burlington-South Burlington, VT",2023,2.4
3715,"Burlington-South Burlington, VT",2024,2.4
343,"California-Lexington Park, MD",2015,4.8
726,"California-Lexington Park, MD",2016,4.5
1109,"California-Lexington Park, MD",2017,4
1492,"California-Lexington Park, MD",2018,3.5
1875,"California-Lexington Park, MD",2019,3.3
2258,"California-Lexington Park, MD",2020,3.136312627
2641,"California-Lexington Park, MD",2021,3.002344845
3024,"California-Lexington Park, MD",2022,2.892700674
3407,"California-Lexington Park, MD",2023,2.802963842
3790,"California-Lexington Park, MD",2024,2.729519911
171,"Canton-Massillon, OH",2015,5.3
554,"Canton-Massillon, OH",2016,4.8
937,"Canton-Massillon, OH",2017,4.3
1320,"Canton-Massillon, OH",2018,3.8
1703,"Canton-Massillon, OH",2019,3.6
2086,"Canton-Massillon, OH",2020,3.418359325
2469,"Canton-Massillon, OH",2021,3.253392652
2852,"Canton-Massillon, OH",2022,3.103569363
3235,"Canton-Massillon, OH",2023,2.967499347
3618,"Canton-Massillon, OH",2024,2.843920099
48,"Cape Coral-Fort Myers, FL",2015,5.2
431,"Cape Coral-Fort Myers, FL",2016,4.7
814,"Cape Coral-Fort Myers, FL",2017,4.2
1197,"Cape Coral-Fort Myers, FL",2018,3.8
1580,"Cape Coral-Fort Myers, FL",2019,3.5
1963,"Cape Coral-Fort Myers, FL",2020,3.205904484
2346,"Cape Coral-Fort Myers, FL",2021,2.917597244
2729,"Cape Coral-Fort Myers, FL",2022,2.634964356
3112,"Cape Coral-Fort Myers, FL",2023,2.357894141
3495,"Cape Coral-Fort Myers, FL",2024,2.086277115
3,"Cape Girardeau, MO-IL",2015,4.7
386,"Cape Girardeau, MO-IL",2016,4.4
769,"Cape Girardeau, MO-IL",2017,3.9
1152,"Cape Girardeau, MO-IL",2018,3.5
1535,"Cape Girardeau, MO-IL",2019,3.2
1918,"Cape Girardeau, MO-IL",2020,2.927281137
2301,"Cape Girardeau, MO-IL",2021,2.679362543
2684,"Cape Girardeau, MO-IL",2022,2.453988952
3067,"Cape Girardeau, MO-IL",2023,2.249110188
3450,"Cape Girardeau, MO-IL",2024,2.062862509
147,"Carbondale-Marion, IL",2015,5.9
530,"Carbondale-Marion, IL",2016,5.4
913,"Carbondale-Marion, IL",2017,4.8
1296,"Carbondale-Marion, IL",2018,4.3
1679,"Carbondale-Marion, IL",2019,4.1
2062,"Carbondale-Marion, IL",2020,3.92083022
2445,"Carbondale-Marion, IL",2021,3.760321169
2828,"Carbondale-Marion, IL",2022,3.616529312
3211,"Carbondale-Marion, IL",2023,3.487713535
3594,"Carbondale-Marion, IL",2024,3.372314062
362,"Carson City, NV",2015,7.2
745,"Carson City, NV",2016,6.6
1128,"Carson City, NV",2017,5.8
1511,"Carson City, NV",2018,5.5
1894,"Carson City, NV",2019,5.4
2277,"Carson City, NV",2020,5.322378154
2660,"Carson City, NV",2021,5.262126645
3043,"Carson City, NV",2022,5.215358311
3426,"Carson City, NV",2023,5.179055867
3809,"Carson City, NV",2024,5.15087724
363,"Casper, WY",2015,4.9
