,CBSA,year,Population
1073,36780,2012,168525
1074,41660,2012,116071
1075,45460,2012,189555
1076,46540,2012,297992
1077,48300,2012,112669
1078,49620,2012,437466
1079,12540,2012,853606
1080,15680,2012,108800
1081,16180,2012,54312
1082,16300,2012,261916
1083,17020,2012,220869
1084,19060,2012,101833
1085,21820,2012,100311
1086,25420,2012,555057
1087,25620,2012,165994
1088,28420,2012,268071
1089,34580,2012,117714
1090,34940,2012,332233
1091,39100,2012,670722
1092,40380,2012,1081508
1093,41180,2012,2796682
1094,41420,2012,396076
1095,42220,2012,489993
1096,45780,2012,648750
1097,49420,2012,246127
1098,49740,2012,202475
1099,10540,2012,118273
1100,12420,2012,1834586
1101,13460,2012,161359
1102,13980,2012,164120
1103,15260,2012,113281
1104,16020,2012,97210
1105,17460,2012,2064776
1106,17900,2012,783250
1107,18140,2012,1947208
1108,19300,2012,190145
1109,22180,2012,502672
1110,22660,2012,310842
1111,24220,2012,99093
1112,25060,2012,396803
1113,26820,2012,136165
1114,27900,2012,174407
1115,29200,2012,216449
1116,30340,2012,107486
1117,31540,2012,619719
1118,32900,2012,260867
1119,35620,2012,19149689
1120,36260,2012,612185
1121,37460,2012,171757
1122,39340,2012,549980
1123,39540,2012,194594
1124,42680,2012,140473
1125,48660,2012,151040
1126,49700,2012,166963
1127,11100,2012,257802
1128,11460,2012,352303
1129,13900,2012,115679
1130,15180,2012,415877
1131,15500,2012,153265
1132,16860,2012,538103
1133,17140,2012,2152554
1134,18700,2012,86678
1135,19100,2012,6644559
1136,19500,2012,110134
1137,20700,2012,168628
1138,21060,2012,151501
1139,22900,2012,249491
1140,23900,2012,101254
1141,24860,2012,840903
1142,29740,2012,214450
1143,31900,2012,122633
1144,34740,2012,170159
1145,36740,2012,2225636
1146,37980,2012,6016616
1147,38340,2012,130284
1148,41700,2012,2236981
1149,42100,2012,266340
1150,44180,2012,444329
1151,44700,2012,699593
1152,11540,2013,229978
1153,12020,2013,197590
1154,14010,2013,175037
1155,15540,2013,214827
1156,19660,2013,600236
1157,20100,2013,169038
1158,20740,2013,164822
1159,24260,2013,74652
1160,24420,2013,83131
1161,24500,2013,82194
1162,26420,2013,6328208
1163,26900,2013,1953600
1164,27060,2013,103553
1165,27140,2013,596325
1166,28100,2013,112735
1167,28660,2013,423931
1168,32580,2013,818619
1169,33460,2013,3440782
1170,40980,2013,196794
1171,41140,2013,127635
1172,42140,2013,147465
1173,43900,2013,290414
1174,45060,2013,661773
1175,48700,2013,116598
1176,10900,2013,825731
1177,12940,2013,841986
1178,14860,2013,939924
1179,16980,2013,9550194
1180,21140,2013,200205
1181,21300,2013,88199
1182,21340,2013,834203
1183,21420,2013,62370
1184,21500,2013,280717
1185,24660,2013,740604
1186,25860,2013,363379
1187,27980,2013,161004
1188,30780,2013,723159
1189,34100,2013,137924
1190,35100,2013,127172
1191,37900,2013,418092
1192,40340,2013,211502
1193,40660,2013,95880
1194,40900,2013,2210512
1195,41100,2013,146987
1196,41500,2013,426712
1197,42020,2013,275696
1198,42660,2013,3612347
1199,43580,2013,143623
1200,11180,2013,120161
1201,10500,2013,152667
1202,12620,2013,153222
1203,13780,2013,248017
1204,20020,2013,147449
1205,21780,2013,314331
1206,26300,2013,97654
1207,27620,2013,150669
1208,30980,2013,282589
1209,31080,2013,13097434
1210,31860,2013,97718
1211,37100,2013,838136
1212,39660,2013,132320
1213,39820,2013,178397
1214,41940,2013,1923664
1215,43340,2013,406237
1216,44100,2013,211713
1217,49340,2013,928346
1218,12060,2013,5510530
1219,14020,2013,163221
1220,15940,2013,403365
1221,17980,2013,327844
1222,22420,2013,415639
1223,24780,2013,174380
1224,27100,2013,159628
1225,27340,2013,192354
1226,30020,2013,131113
1227,30460,2013,490906
1228,34980,2013,1735012
1229,37340,2013,550255
1230,38060,2013,4403121
